No,0_Time,0_MSE,1_Time,1_MSE,2_Time,2_MSE,
1,3.0,21.6,3.6,4.0,4.1,5.9,
2,2.9,23.5,3.7,6.7,4.1,4.1,
3,2.8,14.0,3.6,6.5,4.1,5.3,
4,2.8,18.1,3.7,9.6,4.1,7.2,
5,2.8,15.9,3.2,9.3,4.1,4.4,
6,2.8,29.9,3.4,7.7,4.1,2.3,
7,2.8,15.3,3.6,14.3,4.1,5.5,
8,2.8,15.1,3.4,12.3,4.1,3.3,
9,2.8,20.6,3.6,9.2,4.2,3.0,
10,2.8,22.8,3.4,10.7,4.2,2.8,
11,2.8,20.1,3.7,12.0,4.1,6.4,
12,2.8,16.9,3.7,10.1,4.2,3.6,
13,2.8,18.4,3.2,7.4,4.1,7.0,
14,2.8,19.0,3.6,14.1,4.2,3.3,
15,2.8,26.0,3.4,10.4,4.1,3.7,
16,2.8,25.4,3.4,4.9,4.1,3.4,
17,2.8,17.0,3.5,10.2,4.1,6.1,
18,2.8,18.8,3.5,8.8,4.1,4.5,
19,2.8,31.3,3.4,7.1,4.2,6.9,
20,2.8,13.3,3.4,4.1,4.1,2.7,
21,2.8,21.8,3.5,9.7,4.1,3.2,
22,2.8,20.5,3.3,10.1,4.1,7.1,
23,2.8,17.4,3.1,8.8,4.2,7.1,
24,2.8,16.9,3.1,6.5,4.1,5.7,
25,2.8,20.3,3.1,7.9,4.1,3.8,
26,2.9,24.2,3.2,10.8,4.1,2.9,
27,2.8,22.5,3.1,11.4,4.1,3.9,
28,2.8,17.5,3.2,7.2,4.1,3.4,
29,2.8,16.4,3.2,10.2,4.1,3.6,
30,2.8,21.4,3.2,8.3,4.1,2.9,
31,2.7,21.5,3.2,10.5,4.1,6.7,
