No,0_Time,0_MSE,1_Time,1_MSE,2_Time,2_MSE,
1,2.96,21.58,3.58,3.96,4.13,5.87,
2,2.90,23.53,3.66,6.70,4.13,4.14,
3,2.79,14.03,3.60,6.51,4.13,5.33,
4,2.79,18.10,3.72,9.56,4.12,7.18,
5,2.76,15.93,3.18,9.30,4.15,4.37,
6,2.82,29.86,3.37,7.73,4.14,2.34,
7,2.80,15.29,3.59,14.27,4.12,5.51,
8,2.83,15.08,3.39,12.27,4.13,3.34,
9,2.81,20.59,3.63,9.16,4.16,3.04,
10,2.83,22.81,3.45,10.70,4.16,2.81,
11,2.83,20.05,3.71,12.04,4.14,6.36,
12,2.84,16.86,3.65,10.14,4.16,3.61,
13,2.83,18.41,3.24,7.37,4.14,6.96,
14,2.76,19.04,3.57,14.14,4.16,3.27,
15,2.82,26.01,3.42,10.41,4.13,3.72,
16,2.84,25.37,3.41,4.85,4.14,3.41,
17,2.82,16.98,3.49,10.15,4.14,6.09,
18,2.80,18.80,3.45,8.80,4.15,4.50,
19,2.80,31.34,3.45,7.06,4.15,6.86,
20,2.79,13.34,3.43,4.08,4.14,2.73,
21,2.79,21.83,3.50,9.71,4.15,3.18,
22,2.79,20.47,3.31,10.07,4.13,7.11,
23,2.79,17.38,3.09,8.79,4.18,7.09,
24,2.79,16.93,3.11,6.51,4.12,5.68,
25,2.82,20.31,3.12,7.85,4.14,3.82,
26,2.86,24.19,3.23,10.75,4.15,2.89,
27,2.80,22.54,3.13,11.35,4.12,3.85,
28,2.79,17.47,3.16,7.24,4.13,3.42,
29,2.81,16.37,3.21,10.16,4.13,3.62,
30,2.82,21.43,3.19,8.26,4.12,2.88,
31,2.69,21.50,3.24,10.45,4.13,6.74,
